model,rank,alpha,lambda,clip,iter,similarity,corruption,gamma,batch_size,learning_rate,source,AUC,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,NLL,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,metric,topK
AT-MF,195,1.0,0.0001,0.002625268634995246,500,Cosine,0,1.0,2048,0.005,,"[0.729, 0.0]","[4.1195, 0.0251]","[0.0121, 0.0008]","[0.0112, 0.0006]","[0.0105, 0.0005]","[0.0141, 0.0011]","[0.0084, 0.0003]","[0.0676, 0.0023]","[-0.6783, 0.0]","[0.0101, 0.0005]","[0.0087, 0.0004]","[0.0081, 0.0003]","[0.0113, 0.0007]","[0.0063, 0.0002]","[0.0162, 0.0017]","[0.0629, 0.0034]","[0.0813, 0.0038]","[0.1015, 0.0042]","[0.0345, 0.0025]","[0.193, 0.0055]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
CVIB-MF,190,0.04017631104369287,0.0001,1.0,500,Cosine,0,0.17327214733543173,256,0.001,,"[0.7086, 0.0]","[4.33, 0.0226]","[0.0086, 0.0006]","[0.0081, 0.0005]","[0.0076, 0.0004]","[0.0094, 0.0009]","[0.0062, 0.0003]","[0.0488, 0.0019]","[-0.6939, 0.0]","[0.0075, 0.0004]","[0.0069, 0.0003]","[0.006, 0.0003]","[0.008, 0.0006]","[0.0048, 0.0001]","[0.0089, 0.0011]","[0.0471, 0.003]","[0.0636, 0.0034]","[0.0749, 0.0037]","[0.0253, 0.0022]","[0.1428, 0.0048]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIB-MF,75,0.11276423548058845,1e-05,1.0,500,Cosine,0,0.021928183171644286,8192,0.005,,"[0.7602, 0.0]","[3.8115, 0.0283]","[0.0186, 0.0009]","[0.0169, 0.0007]","[0.0157, 0.0006]","[0.0212, 0.0013]","[0.012, 0.0004]","[0.0932, 0.0026]","[-0.7459, 0.0]","[0.0151, 0.0006]","[0.013, 0.0004]","[0.0117, 0.0004]","[0.0177, 0.0009]","[0.0083, 0.0002]","[0.0225, 0.0019]","[0.096, 0.0041]","[0.124, 0.0046]","[0.1464, 0.005]","[0.0566, 0.0033]","[0.2526, 0.006]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIBB-MF,90,0.21488651588543503,1e-05,1.0,500,Cosine,0,1.0,4096,0.01,,"[0.7505, 0.0]","[3.8768, 0.0278]","[0.0176, 0.0009]","[0.016, 0.0007]","[0.0148, 0.0006]","[0.0205, 0.0013]","[0.0113, 0.0003]","[0.0893, 0.0026]","[-0.7482, 0.0]","[0.0138, 0.0006]","[0.012, 0.0004]","[0.0108, 0.0003]","[0.0175, 0.0009]","[0.0079, 0.0002]","[0.022, 0.0019]","[0.0909, 0.0041]","[0.1157, 0.0045]","[0.1378, 0.0048]","[0.0563, 0.0032]","[0.2437, 0.006]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIBC-MF,90,0.10279245221140722,1e-05,1.0,500,Cosine,0,0.06020929759295666,8192,0.01,,"[0.7545, 0.0]","[3.8365, 0.0281]","[0.0187, 0.0009]","[0.0168, 0.0007]","[0.0155, 0.0006]","[0.0218, 0.0013]","[0.0118, 0.0004]","[0.0915, 0.0027]","[-0.7437, 0.0]","[0.0142, 0.0006]","[0.0124, 0.0004]","[0.0114, 0.0004]","[0.0173, 0.0009]","[0.0079, 0.0002]","[0.0236, 0.002]","[0.0937, 0.0041]","[0.1206, 0.0046]","[0.1465, 0.005]","[0.0569, 0.0033]","[0.243, 0.006]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
DIBD-MF,75,0.1104388620662309,0.0001,1.0,500,Cosine,0,0.017876647631864428,16384,0.01,,"[0.7342, 0.0]","[3.9982, 0.0266]","[0.0147, 0.0008]","[0.0135, 0.0007]","[0.0127, 0.0006]","[0.0169, 0.0012]","[0.0099, 0.0003]","[0.0769, 0.0024]","[-1.1475, 0.0]","[0.0117, 0.0005]","[0.0108, 0.0004]","[0.0098, 0.0003]","[0.0144, 0.0008]","[0.007, 0.0002]","[0.0179, 0.0017]","[0.0737, 0.0037]","[0.0991, 0.0042]","[0.1199, 0.0045]","[0.0478, 0.003]","[0.2097, 0.0056]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
IPS-MF,65,1.0,0.001,1.0,500,Cosine,0,1.0,128,0.001,,"[0.704, 0.0]","[4.6151, 0.017]","[0.0031, 0.0004]","[0.0031, 0.0003]","[0.0031, 0.0003]","[0.003, 0.0005]","[0.0031, 0.0002]","[0.0259, 0.0012]","[-0.7, 0.0]","[0.0033, 0.0003]","[0.003, 0.0002]","[0.0031, 0.0002]","[0.0031, 0.0004]","[0.0031, 0.0001]","[0.0022, 0.0006]","[0.0182, 0.0018]","[0.0253, 0.0021]","[0.0345, 0.0025]","[0.0091, 0.0013]","[0.0876, 0.0039]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
MF,80,1.0,0.001,1.0,500,Cosine,0,1.0,128,0.001,,"[0.7081, 0.0]","[4.5262, 0.019]","[0.0045, 0.0004]","[0.0044, 0.0004]","[0.0043, 0.0003]","[0.0044, 0.0006]","[0.004, 0.0002]","[0.0341, 0.0015]","[-0.6904, 0.0]","[0.0043, 0.0003]","[0.0043, 0.0003]","[0.004, 0.0002]","[0.0043, 0.0005]","[0.0036, 0.0001]","[0.0042, 0.0008]","[0.0273, 0.0023]","[0.0403, 0.0028]","[0.0495, 0.003]","[0.0123, 0.0015]","[0.1128, 0.0045]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
Rel-MF,155,1.0,0.1,0.05545317645700249,500,Cosine,0,1.0,2048,0.005,,"[0.7469, 0.0]","[3.8796, 0.0275]","[0.0152, 0.0008]","[0.0142, 0.0007]","[0.0135, 0.0006]","[0.0164, 0.0011]","[0.0108, 0.0003]","[0.0843, 0.0024]","[-0.6724, 0.0]","[0.0131, 0.0005]","[0.0117, 0.0004]","[0.011, 0.0003]","[0.0159, 0.0009]","[0.0079, 0.0002]","[0.0161, 0.0016]","[0.0863, 0.004]","[0.1138, 0.0045]","[0.1404, 0.0049]","[0.0526, 0.0032]","[0.2399, 0.0059]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
SNIPS-MF,120,1.0,0.0001,1.0,500,Cosine,0,1.0,1024,0.001,,"[0.7124, 0.0]","[4.4654, 0.0201]","[0.0058, 0.0005]","[0.0054, 0.0004]","[0.0053, 0.0004]","[0.0066, 0.0007]","[0.0047, 0.0002]","[0.039, 0.0017]","[-0.694, 0.0]","[0.0048, 0.0003]","[0.0047, 0.0003]","[0.0046, 0.0002]","[0.0057, 0.0005]","[0.004, 0.0001]","[0.0069, 0.0011]","[0.0293, 0.0024]","[0.042, 0.0028]","[0.0553, 0.0032]","[0.0182, 0.0019]","[0.1201, 0.0045]","['R-Precision', 'NDCG', 'Clicks', 'Precision', 'Recall', 'MAP', 'NLL', 'AUC']","[5, 10, 15, 20, 50]"
